Team,Year,Season,Sport,Event,Medal
Denmark/Sweden,1900,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Finland,1920,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Finland,1920,Summer,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Finland,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1948,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Finland,1948,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Finland,1948,Summer,Gymnastics,Gymnastics Men's Horse Vault,Gold
Finland,1948,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Finland,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Norway,1992,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Norway,1992,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
Norway,1994,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
Norway,1994,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
Norway,1994,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Silver
Norway,2002,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Norway,2002,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Norway,2006,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Norway,2008,Summer,Handball,Handball Women's Handball,Gold
Norway,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Netherlands,1988,Summer,Hockey,Hockey Women's Hockey,Bronze
Netherlands,1996,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Norway,1996,Summer,Football,Football Women's Football,Bronze
Norway,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Norway,1952,Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
Norway,1960,Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
Taifun,1912,Summer,Sailing,Sailing Mixed 8 metres,Gold
France,1956,Summer,Cycling,"Cycling Men's Road Race, Team",Gold
Italy,2016,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
Spain,2008,Summer,Fencing,"Fencing Men's epee, Individual",Bronze
Azerbaijan,2016,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze
Russia,2008,Summer,Athletics,Athletics Women's Javelin Throw,Silver
Belarus,2008,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
France,2008,Summer,Handball,Handball Men's Handball,Gold
France,2012,Summer,Handball,Handball Men's Handball,Gold
France,2016,Summer,Handball,Handball Men's Handball,Silver
Cameroon,2000,Summer,Football,Football Men's Football,Gold
Spain,1996,Summer,Water Polo,Water Polo Men's Water Polo,Gold
United States,2004,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Spain,1980,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Spain,1984,Summer,Athletics,"Athletics Men's 1,500 metres",Bronze
Russia,2004,Summer,Cycling,Cycling Women's Sprint,Silver
France,2008,Summer,Handball,Handball Men's Handball,Gold
Hungary,1992,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Hungary,1936,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Italy,1936,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Italy,1988,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,1996,Summer,Rowing,Rowing Men's Double Sculls,Gold
Italy,2000,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,1984,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,1988,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,1992,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
Italy,1984,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,1988,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,1992,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
Thessalonki-1,1906,Summer,Football,Football Men's Football,Bronze
Australia,2008,Summer,Hockey,Hockey Men's Hockey,Bronze
United States,2014,Winter,Figure Skating,Figure Skating Mixed Team,Bronze
United States,1900,Summer,Golf,Golf Women's Individual,Gold
United States,2008,Summer,Softball,Softball Women's Softball,Silver
United States,2004,Summer,Taekwondo,Taekwondo Women's Featherweight,Silver
Iran,2016,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Canada,1984,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Pakistan,1960,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1964,Summer,Hockey,Hockey Men's Hockey,Silver
Soviet Union,1972,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Uzbekistan,2000,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
Azerbaijan,1996,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Azerbaijan,2000,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
United States,2000,Summer,Basketball,Basketball Men's Basketball,Gold
Tajikistan,2008,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Unified Team,1992,Summer,Athletics,Athletics Men's Hammer Throw,Gold
Japan,1994,Winter,Nordic Combined,Nordic Combined Men's Team,Gold
Ethiopia,1992,Summer,Athletics,"Athletics Men's 10,000 metres",Bronze
Switzerland,1924,Summer,Football,Football Men's Football,Silver
United States,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Canada,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
East Germany,1972,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Canada,2012,Summer,Diving,Diving Women's Synchronized Springboard,Bronze
Fornebo,1920,Summer,Sailing,Sailing Mixed 7 metres,Silver
Spain,1992,Summer,Football,Football Men's Football,Gold
Vesper Boat Club,1900,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Vesper Boat Club,1904,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Ethiopia,2000,Summer,Athletics,Athletics Men's Marathon,Gold
Sweden,1912,Summer,Athletics,Athletics Men's Long Jump,Bronze
Sweden,1912,Summer,Athletics,Athletics Men's Triple Jump,Silver
United States,2000,Summer,Baseball,Baseball Men's Baseball,Gold
South Africa,1956,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Turkey,2008,Summer,Athletics,"Athletics Women's 5,000 metres",Silver
Bulgaria,1980,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
United States,1932,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Russia,2012,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Russia,2012,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
Russia,2016,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Russia,2016,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
Russia,2016,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
Soviet Union,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Soviet Union,1972,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Australia,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Egypt,2012,Summer,Fencing,"Fencing Men's Foil, Individual",Silver
Hungary,1988,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Hungary,1988,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Hungary,1992,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Great Britain,1980,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Sweden,2004,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Great Britain,1924,Summer,Athletics,Athletics Men's 100 metres,Gold
Great Britain,1924,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Norway,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Sweden,1920,Summer,Athletics,Athletics Men's Long Jump,Bronze
Sweden,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Russia,2004,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Soviet Union,1964,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Russia,2006,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
Spain,2016,Summer,Basketball,Basketball Men's Basketball,Bronze
Russia,2008,Summer,Basketball,Basketball Women's Basketball,Bronze
Soviet Union,1980,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
France,2004,Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
France,2008,Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Jordan,2016,Summer,Taekwondo,Taekwondo Men's Featherweight,Gold
Japan,1964,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Soviet Union,1980,Summer,Fencing,"Fencing Men's epee, Team",Bronze
Soviet Union,1980,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Romania,2008,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
France,2012,Summer,Handball,Handball Men's Handball,Gold
Switzerland,1988,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
Spain,1920,Summer,Football,Football Men's Football,Silver
Puerto Rico,1992,Summer,Boxing,Boxing Men's Welterweight,Bronze
Mexico,1984,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Ghana,1992,Summer,Football,Football Men's Football,Bronze
Switzerland,1984,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Morocco,1988,Summer,Boxing,Boxing Men's Featherweight,Bronze
Morocco,1992,Summer,Boxing,Boxing Men's Bantamweight,Bronze
Soviet Union,1968,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Netherlands,2012,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Netherlands,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Silver
Sweden,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
New Zealand,1976,Summer,Hockey,Hockey Men's Hockey,Gold
United States,1920,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Germany,2002,Winter,Nordic Combined,Nordic Combined Men's Team,Silver
Germany,2002,Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver
Germany,2006,Winter,Nordic Combined,Nordic Combined Men's Team,Silver
Switzerland-1,1992,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Switzerland-1,1992,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
Switzerland-1,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Switzerland-1,1994,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Switzerland-2,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Argentina,2008,Summer,Football,Football Men's Football,Gold
Cuba,2008,Summer,Boxing,Boxing Men's Heavyweight,Bronze
Uruguay,1952,Summer,Basketball,Basketball Men's Basketball,Bronze
Poland,1980,Summer,Boxing,Boxing Men's Lightweight,Bronze
United States,1936,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Czechoslovakia,1976,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Canada,2006,Winter,Curling,Curling Men's Curling,Gold
Germany,1936,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
France,1948,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Poland,1992,Summer,Football,Football Men's Football,Silver
United States,1912,Summer,Athletics,Athletics Men's Standing High Jump,Silver
United States,1912,Summer,Athletics,Athletics Men's Standing Long Jump,Bronze
United States,1904,Summer,Swimming,Swimming Men's Plunge For Distance,Silver
United States,1912,Summer,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
Great Britain,1980,Summer,Judo,Judo Men's Lightweight,Silver
Great Britain,1984,Summer,Judo,Judo Men's Half-Middleweight,Silver
Great Britain,2012,Summer,Boxing,Boxing Women's Flyweight,Gold
Great Britain,2016,Summer,Boxing,Boxing Women's Flyweight,Gold
United States,1912,Summer,Athletics,Athletics Men's Standing High Jump,Gold
United States,1912,Summer,Athletics,Athletics Men's Standing Long Jump,Silver
United States,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Great Britain,2014,Winter,Curling,Curling Women's Curling,Bronze
New Zealand,2008,Summer,Athletics,Athletics Women's Shot Put,Gold
New Zealand,2012,Summer,Athletics,Athletics Women's Shot Put,Gold
New Zealand,2016,Summer,Athletics,Athletics Women's Shot Put,Silver
Germany,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Germany,1936,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
Poland,1960,Summer,Boxing,Boxing Men's Featherweight,Silver
Ghana,1992,Summer,Football,Football Men's Football,Bronze
Switzerland,1920,Summer,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
Nigeria,2008,Summer,Football,Football Men's Football,Silver
Nigeria,2008,Summer,Football,Football Men's Football,Silver
Brazil,1984,Summer,Football,Football Men's Football,Silver
Brazil,1988,Summer,Football,Football Men's Football,Silver
Nigeria,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Brazil,2012,Summer,Volleyball,Volleyball Women's Volleyball,Gold
France-1,1992,Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
France-1,1996,Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
Germany-2,2010,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Ghana,1992,Summer,Football,Football Men's Football,Bronze
United States,1952,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
United States,1996,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
Great Britain,1948,Summer,Hockey,Hockey Men's Hockey,Silver
Brazil,1984,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
Germany,1960,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Austria,1912,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Sweden,1936,Summer,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
Sweden,1912,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Sweden,1908,Summer,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
Sweden,1912,Summer,Diving,Diving Men's Platform,Gold
Sweden,1912,Summer,Diving,Diving Men's Plain High,Gold
Sweden,1920,Summer,Diving,Diving Men's Platform,Silver
Great Britain,2008,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold
Great Britain,2008,Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold
Great Britain,2012,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Great Britain,2012,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Lithuania,2000,Summer,Basketball,Basketball Men's Basketball,Bronze
United States,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
United States,2012,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
United States,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
United States,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
United States,2016,Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze
United States,2016,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
United States,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
United States,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Brazil,1996,Summer,Basketball,Basketball Women's Basketball,Silver
Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
Hungary,1996,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Germany,1964,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Russia,2012,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Russia,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Nigeria,1996,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Romania,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
South Africa,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Pakistan,1964,Summer,Hockey,Hockey Men's Hockey,Silver
South Africa,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Romania,1984,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Romania,1984,Summer,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Italy,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Italy,2008,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver
United States,1996,Summer,Tennis,Tennis Men's Singles,Gold
France,2016,Summer,Judo,Judo Women's Half-Middleweight,Silver
Stella-2,1920,Summer,Sailing,Sailing Mixed 6 metres,Bronze
Soviet Union,1956,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Soviet Union,1960,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Soviet Union,1964,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Netherlands,2008,Summer,Hockey,Hockey Women's Hockey,Gold
Netherlands,2012,Summer,Hockey,Hockey Women's Hockey,Gold
France,2012,Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold
France,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
France,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Canada,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Canada,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Canada,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
United States-1,2006,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Hungary,1964,Summer,Fencing,"Fencing Women's Foil, Team",Gold
Italy,1928,Summer,Fencing,"Fencing Men's epee, Team",Gold
Italy,1932,Summer,Fencing,"Fencing Men's epee, Individual",Bronze
Italy,1932,Summer,Fencing,"Fencing Men's epee, Team",Silver
Italy,1948,Summer,Fencing,"Fencing Men's epee, Team",Silver
Sweden,1936,Summer,Boxing,Boxing Men's Lightweight,Bronze
"Large boat, Central Naval Prep School ""Poros""-1",1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
Netherlands,1928,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Argentina,2008,Summer,Football,Football Men's Football,Gold
Cuba,2000,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Cuba,1980,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
Spain,2012,Summer,Handball,Handball Women's Handball,Bronze
Spain,2016,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Cuba,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Indonesia,2016,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver
United States,2008,Summer,Volleyball,Volleyball Women's Volleyball,Silver
United States,1972,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Great Britain,1908,Summer,Athletics,Athletics Men's Triple Jump,Gold
Finland,1932,Summer,Boxing,Boxing Men's Welterweight,Bronze
Sweden,1980,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Sweden,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Sweden,1924,Winter,Curling,Curling Men's Curling,Silver
Sweden,1984,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1924,Summer,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
Sweden,1912,Summer,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver
United States,1948,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Germany,2004,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Germany,2016,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Sweden,1932,Summer,Boxing,Boxing Men's Lightweight,Silver
Sweden,1952,Summer,Football,Football Men's Football,Bronze
Indonesia-1,2016,Summer,Badminton,Badminton Mixed Doubles,Gold
Sweden,1948,Summer,Athletics,Athletics Men's Triple Jump,Gold
Germany-1,2000,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
United States,1992,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
United States,1992,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
United States,1992,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Pakistan,1992,Summer,Hockey,Hockey Men's Hockey,Bronze
Pakistan,1968,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1960,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1984,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1992,Summer,Hockey,Hockey Men's Hockey,Bronze
Pakistan,1984,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1960,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1968,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1972,Summer,Hockey,Hockey Men's Hockey,Silver
Pakistan,1992,Summer,Hockey,Hockey Men's Hockey,Bronze
Lucky Girl-1,1912,Summer,Sailing,Sailing Mixed 8 metres,Bronze
Finland,2002,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
Finland,2006,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
Mutafo,1964,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
East Germany,1976,Summer,Rowing,Rowing Women's Coxed Eights,Gold
United States,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Chile,1956,Summer,Athletics,Athletics Women's Javelin Throw,Silver
Germany,1964,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Italy,2012,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Italy,2016,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Argentina,2000,Summer,Hockey,Hockey Women's Hockey,Silver
Argentina,2004,Summer,Hockey,Hockey Women's Hockey,Bronze
Argentina,2008,Summer,Hockey,Hockey Women's Hockey,Bronze
Switzerland-1,1936,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Italy,2016,Summer,Water Polo,Water Polo Women's Water Polo,Silver
Austria,1924,Summer,Weightlifting,Weightlifting Men's Heavyweight,Silver
Germany,2012,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Japan,1956,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Japan,1956,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Japan,1960,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Japan,1960,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Japan,1992,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Japan,2004,Summer,Baseball,Baseball Men's Baseball,Bronze
Australia,1956,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Great Britain,1996,Summer,Sailing,Sailing Mixed One Person Dinghy,Silver
Great Britain,2000,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold
Great Britain,2004,Summer,Sailing,Sailing Men's One Person Dinghy,Gold
Great Britain,2008,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold
Great Britain,2012,Summer,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
United States,2000,Summer,Baseball,Baseball Men's Baseball,Gold
Great Britain,1920,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Great Britain,1968,Summer,Sailing,Sailing Mixed 5.5 metres,Bronze
Canada,1936,Summer,Basketball,Basketball Men's Basketball,Silver
Great Britain-1,1912,Summer,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver
Australia,1992,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Australia,1996,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Australia,2000,Summer,Cycling,Cycling Men's Madison,Gold
Union des Socits Franais de Sports Athletiques,1900,Summer,Rugby,Rugby Men's Rugby,Gold
Ukraine,2008,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
Greece,2000,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Nigeria,2016,Summer,Football,Football Men's Football,Bronze
Cuba,1992,Summer,Baseball,Baseball Men's Baseball,Gold
Cuba,1996,Summer,Baseball,Baseball Men's Baseball,Gold
Cuba,2000,Summer,Baseball,Baseball Men's Baseball,Silver
Nigeria,2008,Summer,Football,Football Men's Football,Silver
Canada,2016,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Nigeria,1996,Summer,Athletics,Athletics Women's Long Jump,Gold
Great Britain,1984,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Great Britain,1992,Summer,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Great Britain,1992,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Japan,1984,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Japan,1992,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Turkey,1948,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Japan,1992,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
Turkey,1956,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
Turkey,1964,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
Turkey,1972,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Sweden,1948,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
Sweden,1952,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
Bissbi,1932,Summer,Sailing,Sailing Mixed 6 metres,Gold
United States,1996,Summer,Football,Football Women's Football,Gold
Turkey,2016,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Soviet Union,1980,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Russia,1998,Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
Russia,2002,Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
Russia,2006,Winter,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
Russia,2006,Winter,Biathlon,Biathlon Women's 15 kilometres,Bronze
Russia,2006,Winter,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Uzbekistan,2016,Summer,Boxing,Boxing Men's Bantamweight,Bronze
Russia,2016,Summer,Fencing,"Fencing Men's Foil, Team",Gold
Russia,2008,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Bulgaria,1964,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Soviet Union,1980,Summer,Hockey,Hockey Women's Hockey,Bronze
Soviet Union,1960,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Pakistan,1968,Summer,Hockey,Hockey Men's Hockey,Gold
Pakistan,1984,Summer,Hockey,Hockey Men's Hockey,Gold
Uganda,1972,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
Soviet Union,1972,Summer,Water Polo,Water Polo Men's Water Polo,Gold
